iter	Passed	Remaining
457	824	975
458	826	973
459	827	971
460	829	969
461	830	967
462	832	965
463	833	962
464	835	960
465	836	958
466	838	956
467	839	954
468	841	952
469	842	950
470	844	948
471	845	946
472	847	944
473	848	941
474	850	939
475	851	937
476	853	935
477	855	933
478	856	931
479	858	929
480	859	927
481	861	925
482	862	923
483	863	920
484	865	919
485	867	917
486	868	915
487	870	913
488	871	911
489	873	909
490	874	907
491	876	904
492	878	902
493	879	900
494	881	899
495	882	896
496	884	894
497	885	892
498	887	891
499	889	889
500	890	887
501	892	884
502	893	882
503	894	880
504	896	878
505	897	876
506	899	874
507	900	872
508	902	870
509	903	868
510	905	866
511	906	864
512	908	862
513	910	860
514	911	858
515	913	856
516	914	854
517	916	852
518	917	850
519	919	848
520	920	846
521	922	844
522	923	842
523	925	840
524	927	838
525	928	836
526	930	834
527	931	832
528	932	830
529	934	828
530	936	826
531	937	824
532	939	822
533	940	820
534	942	819
535	943	817
536	945	815
537	946	813
538	948	810
539	949	808
540	951	806
541	952	805
542	954	803
543	956	801
544	957	799
545	959	797
546	960	795
547	962	793
548	964	792
549	965	790
550	967	788
551	968	786
552	970	784
553	972	782
554	973	780
555	975	778
556	976	776
557	978	774
558	979	772
559	981	771
560	982	769
561	984	767
562	985	765
563	987	763
564	988	761
565	990	759
566	991	757
567	993	755
568	994	753
569	996	751
570	997	749
571	999	747
572	1000	745
573	1002	743
574	1003	741
575	1005	739
576	1006	738
577	1008	736
578	1009	734
579	1011	732
580	1013	730
581	1014	728
582	1016	726
583	1017	724
584	1019	722
585	1020	721
586	1022	719
587	1024	717
588	1025	715
589	1027	713
590	1028	711
591	1030	709
592	1031	708
593	1033	706
594	1034	704
595	1036	702
596	1037	700
597	1039	698
598	1040	696
599	1042	694
600	1043	692
601	1045	691
602	1046	689
603	1047	687
604	1049	685
605	1051	683
606	1052	681
607	1054	679
608	1055	677
609	1056	675
610	1058	673
611	1059	672
612	1061	670
613	1063	668
614	1064	666
615	1066	664
616	1067	662
617	1068	660
618	1070	658
619	1072	657
620	1073	655
621	1075	653
622	1076	651
623	1078	649
624	1080	648
625	1081	646
626	1083	644
627	1084	642
628	1086	640
629	1087	638
630	1089	636
631	1090	635
632	1092	633
633	1093	631
634	1095	629
635	1096	627
636	1098	625
637	1099	623
638	1101	622
639	1102	620
640	1104	618
641	1105	616
642	1107	614
643	1108	612
644	1110	611
645	1111	609
646	1113	607
647	1114	605
648	1115	603
649	1117	601
650	1119	599
651	1120	598
652	1122	596
653	1123	594
654	1125	592
655	1126	590
656	1128	588
657	1129	587
658	1131	585
659	1132	583
660	1134	581
661	1136	580
662	1137	578
663	1139	576
664	1140	574
665	1142	572
666	1143	570
667	1145	569
668	1146	567
669	1148	565
670	1149	563
671	1151	562
672	1153	560
673	1154	558
674	1156	556
675	1157	554
676	1159	553
677	1161	551
678	1162	549
679	1163	547
680	1165	545
681	1166	544
682	1168	542
683	1169	540
684	1171	538
685	1172	536
686	1174	535
687	1175	533
688	1177	531
689	1178	529
690	1180	527
691	1181	525
692	1182	524
693	1184	522
694	1186	520
695	1187	518
696	1190	517
697	1191	515
698	1193	513
699	1194	511
700	1195	510
701	1197	508
702	1199	506
703	1200	504
704	1202	503
705	1203	501
706	1205	499
707	1207	497
708	1208	496
709	1210	494
710	1211	492
711	1213	490
712	1214	488
713	1216	487
714	1217	485
715	1219	483
716	1220	481
717	1222	480
718	1223	478
719	1225	476
720	1226	474
721	1228	472
722	1229	471
723	1231	469
724	1232	467
725	1234	465
726	1236	464
727	1237	462
728	1239	460
729	1240	458
730	1242	457
731	1243	455
732	1245	453
733	1246	451
734	1248	450
735	1249	448
736	1251	446
737	1253	444
738	1254	443
739	1256	441
740	1257	439
741	1258	437
742	1261	436
743	1262	434
744	1264	432
745	1265	430
746	1267	429
747	1268	427
748	1270	425
749	1271	423
750	1273	422
751	1274	420
752	1276	418
753	1277	416
754	1279	415
755	1280	413
756	1282	411
757	1283	409
758	1285	408
759	1287	406
760	1288	404
761	1290	402
762	1291	401
763	1293	399
764	1295	397
765	1296	396
766	1298	394
767	1299	392
768	1301	390
769	1302	389
770	1304	387
771	1305	385
772	1307	383
773	1308	382
774	1310	380
775	1311	378
776	1313	376
777	1314	375
778	1316	373
779	1317	371
780	1319	369
781	1320	368
782	1322	366
783	1323	364
784	1325	363
785	1327	361
786	1328	359
787	1330	357
788	1331	356
789	1333	354
790	1334	352
791	1336	350
792	1338	349
793	1339	347
794	1341	345
795	1342	344
796	1344	342
797	1345	340
798	1347	338
799	1348	337
800	1350	335
801	1351	333
802	1353	331
803	1354	330
804	1355	328
805	1357	326
806	1359	325
807	1360	323
808	1362	321
809	1363	319
810	1365	318
811	1366	316
812	1368	314
813	1369	313
814	1371	311
815	1372	309
816	1374	307
817	1375	306
818	1377	304
819	1379	302
820	1380	300
821	1382	299
822	1383	297
823	1385	295
824	1386	294
825	1388	292
826	1390	290
827	1391	289
828	1393	287
829	1394	285
830	1396	284
831	1398	282
832	1399	280
833	1401	278
834	1402	277
835	1404	275
836	1405	273
837	1406	271
838	1408	270
839	1409	268
840	1411	266
841	1413	265
842	1414	263
843	1416	261
844	1417	260
845	1419	258
846	1420	256
847	1422	254
848	1423	253
849	1425	251
850	1427	249
851	1428	248
852	1430	246
853	1431	244
854	1433	243
855	1434	241
856	1435	239
857	1437	237
858	1439	236
859	1440	234
860	1442	232
861	1443	231
862	1445	229
863	1446	227
864	1448	226
865	1449	224
866	1451	222
867	1452	220
868	1454	219
869	1455	217
870	1457	215
871	1458	214
872	1460	212
873	1461	210
874	1463	209
875	1464	207
876	1466	205
877	1467	203
878	1469	202
879	1470	200
880	1472	198
881	1474	197
882	1475	195
883	1477	193
884	1478	192
885	1480	190
886	1481	188
887	1483	187
888	1484	185
889	1486	183
890	1487	182
891	1489	180
892	1490	178
893	1492	176
894	1493	175
895	1495	173
896	1496	171
897	1498	170
898	1500	168
899	1501	166
900	1503	165
901	1504	163
902	1506	161
903	1507	160
904	1509	158
905	1511	156
906	1513	155
907	1514	153
908	1516	151
909	1517	150
910	1519	148
911	1521	146
912	1522	145
913	1524	143
914	1525	141
915	1526	140
916	1528	138
917	1530	136
918	1531	134
919	1533	133
920	1535	131
921	1536	129
922	1537	128
923	1539	126
924	1540	124
925	1542	123
926	1544	121
927	1545	119
928	1547	118
929	1548	116
930	1550	114
931	1551	113
932	1553	111
933	1554	109
934	1556	108
935	1557	106
936	1559	104
937	1560	103
938	1562	101
939	1564	99
940	1565	98
941	1567	96
942	1568	94
943	1570	93
944	1571	91
945	1573	89
946	1575	88
947	1576	86
948	1578	84
949	1579	83
950	1581	81
951	1582	79
952	1584	78
953	1585	76
954	1587	74
955	1589	73
956	1590	71
957	1592	69
958	1594	68
959	1595	66
960	1597	64
961	1598	63
962	1600	61
963	1601	59
964	1603	58
965	1605	56
966	1606	54
967	1608	53
968	1609	51
969	1611	49
970	1612	48
971	1614	46
972	1615	44
973	1617	43
974	1619	41
975	1620	39
976	1622	38
977	1624	36
978	1625	34
979	1626	33
980	1628	31
981	1629	29
982	1631	28
983	1633	26
984	1635	24
985	1637	23
986	1638	21
987	1640	19
988	1641	18
989	1643	16
990	1644	14
991	1646	13
992	1647	11
993	1649	9
994	1651	8
995	1652	6
996	1653	4
997	1655	3
998	1656	1
999	1658	0
